問題番号,問題,解答
45,天皇および皇族に対して、保障されるが制限を受ける人権の例として挙げられているものは何ですか？,学問の自由、表現の自由です。
46,天皇の「おことば」のような私的行為とも公的行為とも言い切れない行為の法的性質について、「象徴行為」と考える立場は、内閣の助言と承認を必要としますか？,必要としません。
47,憲法第9条第1項は、国際紛争を解決する手段としての武力による威嚇又は武力の行使を永久に放棄すると定めていますが、通説はこの放棄を侵略戦争の放棄と解しますか、それとも自衛戦争も含む全面放棄と解しますか？,通説は侵略戦争を放棄したと解します。
48,憲法第9条第2項は、「前項の目的を達するため」戦力を保持しないと定めていますが、この「前項の目的」について、通説はどのように解釈しますか？,正義と秩序を基調とする国際平和を誠実に希求するため（自衛戦争も放棄）と解します。
49,憲法第9条第2項の「戦力」について、通説はどのように解釈しますか？,軍隊および有事の際にそれに転化しうる程度の実力部隊と解し、自衛隊はこれにあたり違憲であるとします。
50,憲法第9条第2項の「交戦権」について、通説はどのように解釈しますか？,戦争において交戦国が有する権利（敵国兵力の殺傷・領土の攻撃など）と解します。
51,政府見解では、憲法第9条第1項および第2項は侵略戦争と自衛戦争の双方を放棄しているとされますが、自衛のために必要最小限度の実力を持つことは可能であり、自衛隊は合憲であるとしますか？,はい、合憲であるとします。
52,砂川事件判決において、最高裁は憲法第9条が固有の自衛権を否定したものではないと判断しましたか？,はい、否定されたものではないと判断しました。
53,砂川事件判決において、最高裁は憲法第9条第2項が禁止する「戦力」に、我が国に駐留する外国の軍隊は含まれないと判断しましたか？,はい、含まれないと判断しました。
54,2014年に政府が憲法第9条の解釈として認める閣議決定をした権利は何ですか？,集団的自衛権です。
55,百里基地訴訟判決は、憲法第9条が私法上の行為に直接適用されるものと解していますか？,いいえ、直接適用されるものではないと解しています。
56,人権規定が公権力との関係で国民の権利・自由を保護する憲法において、人権規定が私人間にどのように適用されるかについて、民法第90条のような一般条項などの法律の概括的条項に憲法の趣旨を取り込んで解釈適用することで間接的に私人間の行為を規律しようとする見解は何ですか？,間接適用説です。
57,三菱樹脂事件判決において、最高裁は憲法の基本的人権の規定が私人相互の関係を直接規律することを予定していないと判断しましたが、これは何説に近い立場ですか？,非適用説に近い立場です（高橋先生の指摘）。
58,三菱樹脂事件判決において、企業が特定の思想、信条を有する者を雇い入れることを拒否することや、労働者の採否決定にあたり、労働者の思想、信条を調査し、そのためその者からこれに関連する事項についての申告を求めることは、当然に違法とすることはできないと判断しましたか？,はい、判断しました。
59,日産自動車事件判決において、会社の就業規則中、女子の定年年齢を男子より低く定めた部分が、専ら女子であることのみを理由として差別したことに帰着するものであり、性別のみによる不合理な差別を定めたものとして無効であると判断されましたが、その根拠条文として憲法第14条第1項が参照されましたか？,はい、参照されました。
60,憲法の条文のうち、私人間の「直接適用」を初めから想定しているとされている条文の例を2つ挙げてください。,憲法第15条第4項（投票の秘密）22、憲法第18条（奴隷的拘束・苦役からの自由）22、憲法第26条第2項（教育を受けさせる義務）22、憲法第27条第3項（児童酷使の禁止）22、憲法第28条（労働基本権）22 などがあります。
61,憲法第10条は、日本国民たる要件は法律でこれを定めると規定していますが、判例によれば国民主権原理における国民とはどのような者を指しますか？,日本国籍を有する者とされます。
62,憲法第12条および第13条に定められる「公共の福祉」について、通説的な考え方は何ですか？,一元的内在制約説です。
63,一元的内在制約説では、「公共の福祉」は人権の外にある制約原理とされますか、それとも人権に内在する（論理必然）制約原理とされますか？,人権に内在する（論理必然）制約原理とされます。
64,憲法第13条に規定される「生命、自由及び幸福追求に対する国民の権利」は、一般に何と呼ばれますか？,幸福追求権です。
65,幸福追求権から導き出される具体的権利について、個人の人格的生存に不可欠な利益を内容とする権利の総体と考える学説は何ですか？,人格的利益説です。
66,京都府学連事件判決において、最高裁は個人の「肖像権」（プライバシーの権利の一種）の具体的権利性を認めましたか？,はい、認めました。
67,前科照会事件最高裁判決において、最高裁は「前科・犯罪経歴をみだりに公開されない自由」をプライバシー権の一つとして認める趣旨の見解を示しましたか？,はい、示しました。
68,江沢民講演会参加者名簿提出事件判決において、最高裁は個人情報が「本人が、自己が欲しない他者にはみだりにこれを開示されたくないと考えることは自然なことであり、そのことへの期待は保護されるべきものである」として、法的保護の対象となると述べましたか？,はい、述べました。
69,住基ネット訴訟判決において、最高裁は憲法第13条が「個人の私生活上の自由の一つとして、何人も、個人に関する情報をみだりに第三者に開示又は公表されない自由を有する」と解されると述べましたか？,はい、述べました。
70,外国人指紋押捺拒否事件判決において、最高裁は「何人もみだりに指紋の押なつを強制されない自由を有する」と判断しましたか？,はい、判断しました。
71,夫婦同姓は憲法第13条、第14条、第24条に反しないと最高裁は判断しましたか？,はい、反しないと判断しました。
72,憲法第14条第1項の「法の下の平等」には、法適用の平等と法内容の平等が含まれますか？,はい、両方含まれます。
73,憲法第14条第1項の「平等」は、絶対的平等を意味しますか、それとも各人の差異を前提に同一事情・条件では均一に扱う「相対的平等」を意味しますか？,相対的平等を意味します。
74,憲法第14条第1項で列挙されている「人種、信条、性別、社会的身分又は門地」は、例示列挙であると判例は示していますか？,はい、例示列挙であると示しています。
75,憲法第14条第2項は、華族その他の貴族の制度を認めていませんが、これは明治憲法下の華族制度類似制度の禁止、すなわち特権を伴う世襲の身分を法律で新たに設けることを禁止していますか？,はい、禁止しています。
76,憲法第14条第3項は、栄誉、勲章その他の栄典の授与はいかなる特権も伴わないと定めていますが、経済的利益を伴うことは直ちに違憲となりますか？,いいえ、直ちに違憲となるわけではなく、民主主義の観点からみて合理的限度内か否かで判断されます。
77,サラリーマン税金訴訟において、最高裁は租税法の定立は立法府の政策的・技術的な判断に委ねるほかないとし、立法目的が正当で、かつ、区別の態様が目的との関連で著しく不合理であることが明らかでない限り、その合理性を否定することはできないと判示しましたか？,はい、判示しました。
78,堀木訴訟において、最高裁は憲法第25条にいう「健康で文化的な最低限度の生活」が抽象的・相対的な概念であるため、その具体的内容を立法措置として講ずるかの選択決定は、立法府の広い裁量にゆだねられていると判示しましたか？,はい、判示しました。
79,女子再婚禁止期間事件において、最高裁は民法第733条の立法趣旨である「父性の推定の重複を回避し、父子関係をめぐる紛争の発生を未然に防ぐこと」は正当と判断しつつも、推定の重複を避ける手段としては再婚禁止期間を離婚後100日とすれば足りるため、それを超える部分は違憲であると判断しましたか？,はい、判断しました。
80,非嫡出子相続分規定事件の平成25年最高裁決定は、婚外子相続分差別を違憲と判断しましたが、それ以前の判例を変更するものではありませんでしたか？,いいえ、それ以前の判例を変更するものではありませんでした。過去の判例を維持した上で、その後の立法事実の変化を総合的に考察し、本件相続開始時には違憲となっていたと判断しました。
81,国籍法違憲判決事件において、最高裁は、日本人の父と外国人の母が婚姻せず国籍を取得できない子が国籍を取得できないことについて、当時の規定の立法目的自体には合理的な根拠が認められるとしつつも、立法目的との間における合理的関連性が社会的環境の変化によって失われ、今日では合理性を欠いた過剰な要件となっているとして、当該要件を違憲無効としましたか？,はい、違憲無効としました。
82,議員定数不均衡問題に関して、最高裁は衆議院・参議院ともに投票価値の平等が憲法上要請されていると判断していますか？,はい、判例学説ともに争いなしとされています。
83,議員定数不均衡訴訟において、最高裁は、合理的期間内に是正がされなかった場合、選挙制度が憲法の規定に違反するに至るか否かを判断する際に、単に期間の長短のみならず、是正のために採るべき措置の内容や手続き等の諸般の事情を総合考慮するとしましたか？,はい、判断しました。
84,議員定数不均衡訴訟において、最高裁は混乱を回避するため、選挙自体を違憲無効とはせず、選挙の違法を宣言するにとどめる「事情判決の法理」を採用しましたか？,はい、採用しました。
85,憲法第15条第1項にいう「公務員を選定し、及びこれを罷免すること」という国民固有の権利には、立候補の自由が含まれますか？,はい、判例によれば立候補の自由も含まれます。
86,三井美唄労組事件判決において、最高裁は公職選挙における立候補の自由が憲法第15条第1項の趣旨に照らし、基本的人権の一つとして憲法の保障する重要な権利であると判断しましたか？,はい、判断しました。
87,在外国民の選挙権制限違憲訴訟判決において、最高裁は在外邦人の選挙権制限について、やむを得ない事由があるとはいえないとし、憲法第15条第1項、第3項などに違反すると判断しましたか？,はい、判断しました。
88,国家賠償法第1条第1項の適用上、国会議員の立法行為または立法不作為が違法となるのは、どのような例外的な場合ですか？,①立法の内容または立法不作為が国民に憲法上保障されている権利を違法に侵害することが明白な場合や、②国民に憲法上保障されている権利行使の機会を確保するために所要の立法措置を執ることが必要不可欠であり、それが明白であるにもかかわらず、国会が正当な理由なく長期にわたってこれを怠る場合などです。
89,憲法第17条は、公務員の不法行為により損害を受けたとき、法律の定めるところにより国または公共団体に賠償を求めることができると定めていますが、この「法律の定めるところにより」は立法府に無制限の裁量権を付与する「白紙委任」を認めているものではありませんか？,いいえ、白紙委任を認めているものではありません。
90,憲法第17条は、公務員個人に対する損害賠償請求を否定する「代位責任」の原則を定めていると解されますか？,はい、代位責任の原則を定めていると解されます。
91,郵便法違憲判決において、最高裁は書留郵便物の故意または重過失の場合の免責・責任制限は合理性がなく違憲であると判断しましたか？,はい、判断しました。
92,憲法第18条は「何人も、いかなる奴隷的拘束も受けない」と定めていますが、犯罪に因る処罰の場合を除いて、その意に反する苦役に服させられることは許されますか？,いいえ、許されません。
93,裁判員裁判は、憲法第18条の「苦役」にあたらないと最高裁は判示しましたか？,はい、判示しました。
94,憲法第19条が保障する「思想及び良心の自由」は、内心にとどまる限り絶対的に自由とされますか？,はい、絶対的に自由とされます。
95,「思想及び良心」について、判例・通説は「世界観、人生観、主義、主張などの個人の人格的な内面的精神作用」を指し、区別する必要はないと考える説に近いですか？,はい、その説に近いと考えられます。
96,謝罪広告禁止条例事件判決において、最高裁は裁判所から謝罪広告を命じられた場合、「単に事態の真相を告白し陳謝の意を表するに止まる程度」であれば、これを代替執行によって強制しても合憲であると判示しましたか？,はい、判示しました。
97,君が代ピアノ伴奏拒否事件判決において、最高裁は音楽教員が君が代のピアノ伴奏を拒否したことに対する戒告処分は合憲であると判断しましたか？,はい、合憲であると判断しました。
98,起立斉唱拒否事件判決において、最高裁は卒業式等の国歌斉唱に際して起立し国家を斉唱せよとの職務命令は、特定の思想を持つことを強制したり、これに反する思想を持つことを禁止したりするものではないと判断しましたか？,はい、判断しました。
99,憲法第20条第1項後段、第3項、第89条前段の規定は、政教分離原則を定めていますか？,はい、定めています。
100,憲法第20条第3項は、「国及びその機関は、宗教教育その他いかなる宗教的活動もしてはならない」と定めていますが、これは国家が宗教的に中立であることを要求するものであり、国家が宗教とのかかわり合いをもつことを全く許さないとするものですか？,いいえ、国家が宗教とのかかわり合いをもつことを全く許さないとするものではなく、かかわり合いが「相当とされる限度を超える」場合に許さないものです。
101,津地鎮祭事件判決において、最高裁は政教分離規定を「制度的保障の規定」であるとし、国家が宗教とのかかわり合いをもつことを全く許さないものではないと判断しましたか？,はい、判断しました。
102,憲法第21条第1項が保障する表現の自由には、国民が政府情報等の公開を積極的に要求する「知る権利」が含まれますか？,はい、含まれます。
103,憲法第21条第2項が絶対的に禁止しているものは何ですか？,検閲です。
104,検閲について、税関検査合憲判決最高裁は、行政権が主体となって、思想内容等の表現物を対象とし、その全部または一部の発表の禁止を目的として、対象とされる一定の表現物につき網羅的一般的に、発表前にその内容を審査した上で、不適当と認めるものの発表を禁止することと定義しましたか？,はい、定義しました。
105,北方ジャーナル事件判決において、最高裁は公共の利害に関する名誉棄損的表現について、事前抑制の原則を承認しつつ、例外として差止めが認められるための厳格な要件を示しましたか？,はい、示しました。
106,表現の自由を規制する立法は、曖昧不明確な規制は萎縮効果が生じるため、明確でなければならないとされる原則は何ですか？,明確性の原則です。
107,徳島市公安条例事件判決において、明確性の原則に反するかどうかの判断基準として、最高裁は「通常の判断能力を有する一般人の理解において、具体的場合に当該行為がその適用を受けるものかどうかの判断を可能ならしめるような基準が読み取れるかどうか」により判断されると示しましたか？,はい、示しました。
108,立川反戦ビラ事件判決において、最高裁は表現の自由の行使のためであっても、管理権者の意思に反して私的生活を営む場所の共用部分や敷地に立ち入ることは、管理権者の管理権を侵害するのみならず、私生活の平穏を侵害するものとして刑法に問うことは憲法第21条第1項に違反しないと判断しましたか？,はい、判断しました。
109,公立図書館の職員が、図書の廃棄について、基本的な職務上の義務に反し、著作者または著作物に対する独断的な評価や個人的な好みによって不公正な取扱いをした場合、国家賠償法上違法となる可能性がありますか？,はい、違法となり得ます。
110,検索エンジンサービスとプライバシーに関する判例において、最高裁は検索事業者による検索結果の提供行為も「検索事業者自身による表現行為という側面を有する」と述べましたか？,はい、述べました。
111,集団行動の自由は、動く公共集会として、憲法第21条第1項の「集会」の自由として保障されるのが有力な学説ですか？,はい、有力説です。
112,東京都公安条例事件判決において、最高裁は集団行動の特性について「甚だしい場合には一瞬にして暴徒と化」すと説き、許可制の条例であっても「不許可の場合が厳格に制限されている」ため、「実質において届出制とことなるところがない」と解し、合憲としましたか？,はい、合憲としました。
113,新潟県公安条例事件判決において、最高裁は行列行進または公衆の集団示威運動につき、単なる届出制を定めることは別として、一般的な許可制を定めてこれを事前に抑制することは、憲法の趣旨に反し許されないと判断しましたか？,はい、判断しました。
114,皇居前広場使用禁止事件判決において、最高裁は国民公園を集会に使用するための許可の申請について、公園の管理権者はその許否を自由に決することができ、不許可処分を行っても憲法第21条に反しないと判断しましたか？,いいえ、管理権者の「単なる自由裁量に属するものではなく、…適正にその管理権を行使すべき」とし、その行使を誤れば違法となるとしました（ただし、本件では管理権の行使に誤りはないとしました）5。
115,泉佐野市民会館事件判決において、最高裁は市民会館における集会が「公の秩序をみだすおそれがある場合」とは、人の生命、身体または財産が侵害され、公共の安全が損なわれる危険を回避し、防止することの必要性が優越する場合を指すと限定解釈し、その危険性の程度は「明らかな差し迫った危険の発生が具体的に予見されること」が必要であるとしましたか？,はい、そのように限定解釈し、判断しました。
116,憲法第22条第1項に規定される「居住、移転及び職業選択の自由」について、判例は「営業の自由」も保障されると解していますか？,はい、営業の自由も保障されると解しています。
117,経済的自由に対する規制の審査基準について、目的を他者の生命や健康に対する侵害の防止を目的とする「消極目的規制」と、経済的弱者の保護などを目的とする「積極目的規制」に区別し、前者には比較的厳格な審査が、後者には緩やかな審査が妥当するという考え方を何といいますか？,目的二分論です。
118,薬事法距離制限事件判決において、最高裁は薬局の開設許可基準として地域的制限を定めた薬事法の規定は、不良医薬品の供給の防止等の目的のために必要かつ合理的な規制を定めたものとは言えないとして、憲法第22条第1項に違反し無効であると判断しましたか？,はい、判断しました。
119,憲法第23条が保障する「学問の自由」は、真理の探究を目的とする「研究活動の自由」を意味しますか？,はい、意味します。
120,「学問の自由」の保障内容には、研究活動の自由、研究発表の自由、教授の自由、大学の自治が含まれますか？,はい、含まれます。
121,東大ポポロ事件判決において、最高裁は大学の学生の集会が真に学問的な研究またはその結果の発表のためのものでなく、実社会の政治的社会的活動に当たる行為をする場合には、大学の有する特別な学問の自由と自治は享有しないと判断しましたか？,はい、判断しました。
122,教科書検定の合憲性を認めた判例において、教科書は学術研究の結果の発表を目的とするものではないため、検定が学問の自由を保障した憲法第23条に違反しないと判断しましたか？,はい、判断しました。
123,憲法第24条第1項は、婚姻が「両性の合意のみ」に基づいて成立すると定めていますが、これは「同性婚」を保障していると読むのは難しいですか？,はい、無理（難しい）とされています。
124,憲法第25条第1項に規定される「健康で文化的な最低限度の生活を営む権利」について、判例・通説はこれを国が国民に政治的・道徳的義務を課すものにすぎないという「プログラム規定説」の立場をとっていますか？,いいえ、判例は「抽象的権利説」と理解されています（堀木訴訟は裁判規範性を認めています）。
125,生存権に関する堀木最高裁判決において、最高裁は憲法第25条の規定が、国が個々の国民に対して具体的・現実的に給付義務を有することを規定したものではなく、社会的立法および社会的施設の創造拡充により個々の国民の具体的・現実的な生活権が設定充実されてゆくと解すべきであると判断しましたか？,はい、判断しました。
126,最高裁は、憲法第25条の生存権を具体化する趣旨の法律が制定された場合、その法律は憲法第25条と一体をなし、かかる法律の定める給付水準を正当な理由なくして引き下げることは憲法上許されないとする「制度後退禁止原則」を採用していますか？,いいえ、最高裁は採用していません65。
127,朝日訴訟判決において、最高裁は憲法第25条第1項が直接個々の国民に具体的権利を賦与したものではなく、具体的権利としては生活保護法によって初めて与えられていると判断しましたか？,はい、判断しました。
128,旭川学力テスト事件判決において、最高裁は子どもの教育は、教育を施す者の支配的権能ではなく、何よりもまず、子どもの「学習をする権利」に対応し、その充足をはかりうる立場にある者の責務に属するものととらえられているとしましたか？,はい、そのようにしました。
129,普通教育における教師の教授の自由は、大学教育の場合とは異なり、完全な教授の自由を認めることはできないとされていますが、その理由として何が挙げられていますか？,①児童には批判能力がなく、教師に強い影響力・支配力があること、②学校や教師を選択する余地が乏しいこと、③教育の機会均等をはかる必要があることなどが挙げられています。
130,憲法第26条第2項は義務教育を無償と定めていますが、判例ではこれは授業料の無償を意味し、教科書代金などは含まないとしていますか？,はい、含まないとしています。
131,憲法第27条第1項は「すべて国民は、勤労の権利を有し、義務を負ふ」と定めていますが、この「義務」は勤労を強制する法的根拠になりますか？,いいえ、勤労を強制する法的根拠にはなりません。
132,労働基本権の保障は、使用者と労働者という私人間関係にも直接適用されますか？,はい、直接適用されます。
133,憲法第28条の労働基本権の保障において、「正当な争議行為」は、民事・刑事責任が免責されるとともに、解雇事由や債務不履行にならないとされていますか？,はい、そのようにされています。
134,ユニオン・ショップ協定そのものは合憲ですが、ユニオン・ショップ協定によって、労働者に対し、解雇の威嚇の下に特定の労働組合への加入を強制することは許されますか？,いいえ、労働者の組合選択の自由や他の労働組合の団結権を侵害する場合には許されません。
135,公務員の労働基本権について、警察職員、消防職員、自衛隊員などは、団結権、団体交渉権、団体行動権のすべてが否定されていますか？,はい、すべて否定されています。
136,憲法第29条第1項が保障する「財産権」には、所有権、債権、知的財産権、入会権などの財産的価値を有する一切の権利が含まれますか？,はい、含まれます。
137,憲法第29条第2項は、財産権の内容は「公共の福祉に適合するように、法律でこれを定める」と定めていますが、この「法律」は政令を含むものと解されますか？,いいえ、政令は含まれません。
138,憲法第29条第3項に規定される「正当な補償」について、判例は「完全な補償、すなわち、収容の前後を通じて非収用者の財産価値を等しくならしめるような補償をなすべき」とする「完全補償説」の立場を前提とした判示をしたことがありますか？,はい、あります。
139,森林法事件判決において、最高裁は森林細分化を防止し、森林経営の安定を図るという立法目的は「公共の福祉に合致しないことが明らかであるとはいえない」と判断しましたか？,はい、判断しました。
140,河川附近地制限令事件判決において、最高裁は河川附近地制限令が特定の人に対し、特別に財産上の犠牲を強いるものとはいえないため、損失補償を要件としないことは憲法第29条第3項に違反しないと判断しましたか？,はい、判断しました。
141,憲法第30条は「国民は、法律の定めるところにより、納税の義務を負ふ」と定めていますが、この「国民」には居住する外国人や外国法人も含まれますか？,はい、含まれます。
142,憲法第31条の適正手続の保障において、とりわけ重要な内容の一つとして、「告知と聴聞」を受ける権利がありますか？,はい、あります。
143,裁判所が起訴されていない余罪を考慮して実質上これを処罰する趣旨で量刑に考慮し、被告人を重く処罰することは許されますか？,いいえ、許されません。
144,憲法第31条は、刑罰がすべて法律そのもので定められなければならないとするものではなく、法律の授権によってそれ以下の法令（例えば条例）で定めることもできると解されますか？,はい、解されます。
145,成田新法事件判決において、最高裁は行政手続が刑事手続でないとの理由のみで、当然に憲法第31条の保障の枠外にあると判断すべきではないとし、行政手続への憲法第31条の適用または準用を真正面から認めましたか？,はい、認めました。
146,憲法第35条第1項の令状主義の例外として、逮捕に伴う犯行現場での捜索差押の規定は合憲とされていますか？,はい、合憲とされています。
147,憲法第36条が絶対に禁じるものは何ですか？,公務員による拷問及び残虐な刑罰です。
148,最高裁の判例によれば、現行の絞首刑は憲法第36条の「残虐な刑罰」にあたらないとされていますか？,はい、あたらないとされています。
149,刑事事件において、憲法第37条第2項は刑事被告人に公費で自己のために強制的手続により証人を求める権利を保障していますが、有罪判決時に訴訟費用の負担を命じることは合憲ですか？,はい、合憲です。
150,憲法第38条第1項の「自己に不利益な供述を強要されない」という権利は、供述拒否権の告知まで義務付けるものとされていますか？,いいえ、告知まで義務付けるものではないとされています（判例）。
151,憲法第38条第1項にいう「不利益な供述」の「供述」に、アルコール濃度検知のための吸気検査義務付けは含まれますか？,いいえ、対象外とされています（判例）。
152,憲法第39条は「実行の時に適法であった行為」については刑事上の責任を問われないと定めていますが、行為当時の最高裁判所の判例の示す法解釈に従えば無罪となるべき行為であっても、判例変更によりこれを処罰することは憲法第39条に違反しませんか？,はい、違反しません。
153,憲法第40条に基づき、抑留または拘禁された後に無罪の裁判を受けた者が国に補償を求める「刑事補償」は、国の故意または過失を要件としますか？,いいえ、故意または過失は不要です。
154,憲法第41条は「国会は、国権の最高機関であつて、国の唯一の立法機関である」と定めていますが、この「国権の最高機関」は一般にどのような意味合いで解釈されますか？,天皇の最高機関性の否定、選挙された国民の代表機関であるという「政治的美称説」で解釈されます。
155,憲法第41条の「唯一の立法機関」は、「国会中心立法の原則」と「国会単独立法の原則」を意味しますか？,はい、意味します。
156,内閣の法律案提出権は、憲法第41条の「国会単独立法の原則」に反しませんか？,いいえ、反しません。
157,法律が命令などの他の法形式に委任すること（委任命令）は可能ですが、どのような委任は禁止されていますか？,個別具体的な委任であることが必要で、一般的抽象的な委任（白紙委任）は禁止されています。
158,憲法第43条第1項の「全国民を代表する」という議員の性質は、選挙区や後援団体など特定の選挙母体の代表ではなく、全国民の代表であるという「政治的代表」を意味する通説的見解において、議員は選挙母体の訓令に拘束されますか？,いいえ、拘束されません。
159,憲法第50条の不逮捕特権において、「法律の定める場合を除いて」国会の会期中逮捕されず、会期前に逮捕された議員は、その議院の要求があれば会期中釈放されなければならないとされていますが、これは議員の身体的自由保障説と議院の活動確保説のどちらの目的を強調するものですか？,議員の活動確保説を強調するものです。
160,憲法第51条の免責特権は、国会議員が議院で行った演説、討論または表決について、院外で責任を問われないと定めていますが、地方議会議員にもこの免責特権は憲法上保障されていますか？,いいえ、地方議会議員には憲法上保障されている根拠はありません。
161,憲法第54条第2項は、衆議院が解散されたときは、参議院は同時に閉会となると定めていますが、これはどのような原則を表していますか？,同時活動の原則を表しています。
